number,description,rgbCode
3011,Khaki Green dark ,3168348
3012,Khaki Green medium ,4223869
3013,Khaki Green light ,6987683
3021,Brown Grey very dark,3029062
3022,Brown Grey medium ,6255219
3023,Brown Grey light ,7769491
3024,Brown Grey very ligh,10465465
3031,Mocha Brown very dark,2436674
3032,Mocha Brown medium ,6915734
3033,Mocha Brown very lig,10927570
3041,Antique Violet mediu,6640754
3042,Antique Violet light,9272470
3045,Yellow Beige dark ,4617887
3046,Yellow Beige medium ,6728133
3047,Yellow Beige light ,9554395
3051,Green Grey dark ,3034438
3052,Green Grey medium ,5536881
3053,Green Grey ,6919819
3064,Desert Sand ,5862328
3072,Beaver Grey very light,12502722
3078,Golden Yellow very lt,9956346
3325,Baby Blue light ,14203022
3326,Rose light (776),10916855
3328,Salmon dark ,4932289
3340,Apricot medium ,4679423
3341,Apricot ,6717951
3345,Hunter Green dark ,2443828
3346,Hunter Green ,3170637
3347,Yellow Green medium ,4883307
3348,Yellow Green light ,6994083
3350,Dusty Rose ultra dark,4598174
3354,Dusty Rose light ,10389991
3362,Pine Green dark ,3361346
3363,Pine Green medium ,4877147
3364,Pine Green ,6264457
3371,Black Brown ,2171947
3607,Plum light ,9387455
3608,Plum very light ,11366615
3609,Plum ultra light ,13537765
3685,Mauve dark ,3545194
3687,Mauve ,6569393
3688,Mauve medium ,8874449
3689,Mauve light ,12758261
3705,Melon dark ,5061358
3706,Melon medium ,7692799
3708,Melon light ,10389759
3712,Salmon medium ,6051791
3713,Salmon very light ,13092863
3716,Dusty Rose very light,11507710
3721,Shell Pink dark ,3813509
3722,Shell Pink medium ,5063833
3726,Antique Mauve dark ,5457536
3727,Antique Mauve light ,10258889
3731,Dusty Rose very dark,6242497
3733,Dusty Rose ,8744160
3740,Antique Violet dark ,5062236
3743,Antique Violet very ,12102075
3746,Blue Violet dark ,10440544
3747,Blue Violet very light,14662317
3750,Antique Blue very dark,5191715
3752,Antique Blue very light,12431773
3753,Antique Blue ultra,14141105
3755,Baby Blue ,12884073
3756,Baby Blue ultra,15986141
3760,Wedgewood (806) ,10055468
3761,Sky Blue light ,14206094
3765,Raspberry dark ,7952384
3766,Peacock Blue light ,12165720
3768,Grey Green dark ,6380354
3770,Tawny very light ,13231871
3771,Terra Cotta ultra,8100831
3772,Desert Sand very dark,4938387
3774,Desert Sand very light,10927849
3776,Mahogany light ,3563453
3777,Terra Cotta very dark,2696578
3778,Terra Cotta light ,5925313
3779,Terra Cotta ultra,9610472
3781,Mocha Brown dark ,3030352
3782,Mocha Brown light ,7901868
3787,Brown Grey dark ,4015952
3790,Beige Grey ultra dark,4017505
3799,Pewter Grey very dark,3683376
3801,Christmas Red light ,3679200
3802,Antique Mauve very dk,3550304
3803,Mauve medium ,4466043
3804,Cyclamen Pink dark ,6363322
3805,Cyclamen Pink ,7547852
3806,Cyclamen Pink light ,9590244
3807,Cornflower Blue ,9393223
3808,Turquoise ultra very,5719808
3809,Turquoise very dark ,7166995
3810,Turquoise dark ,9206580
3811,Turquoise very light,13026709
3812,Sea Green very dark ,8161280
3813,Blue Green light ,10333324
3814,Aquamarine (was 504) ,6517005
3815,Celadon Green dark ,5728824
3816,Celadon Green ,7308115
3817,Celadon Green light ,9874306
3818,Emerald Green ultra ,3559168
3819,Moss Green light ,3717048
3820,Straw dark ,2856662
3821,Straw ,4501731
3822,Straw light ,6276848
3823,Yellow ultra pale ,11857406
3824,Apricot light ,9283071
3825,Pumpkin pale ,6527743
3826,Golden Brown ,2444700
3827,Golden Brown pale ,5806305
3828,Hazel Nut Brown ,4618662
3829,Old Gold very dark ,3042468
3830,Terra Cotta ,3553948
3831,Raspberry dark ,3809448
3832,Raspberry medium ,5257414
3833,Raspberry light ,6968783
3834,Grape dark ,4860251
3835,Grape medium ,6373489
3836,Grape light ,9464994
3837,Lavender ultra dark ,8468076
3838,Lavender Blue dark ,10902602
3839,Lavender Blue medium,11432027
3840,Lavender Blue light ,13542277
3841,Baby Blue pale ,13548703
3842,Wedgewood dark ,7028237
3843,Electric Blue ,13074688
3844,Bright Turquoise dark,11700480
3845,Bright Turquoise med,12491520
3846,Bright Turquoise light,13741824
3847,Teal Green dark ,5066752
3848,Teal Green medium ,6974744
3849,Teal Green light ,9277764
3850,Bright Green dark ,7046400
3851,Bright Green light ,8560384
3852,Straw very dark ,1802435
3853,Autumn Gold dark ,2909393
3854,Autumn Gold medium ,4690930
3855,Autumn Gold light ,7389689
3856,Mahogany ultra very ,7513317
3857,Rosewood dark ,2303319
3858,Rosewood medium ,3554677
3859,Rosewood light ,6057394
3860,Cocoa ,4935535
3861,Cocoa light ,6974605
3862,Mocha Beige dark ,4085116
3863,Mocha Beige medium ,5204370
3864,Mocha Beige light ,7309745
3865,Winter White ,15792119
3866,Mocha Brown ultra,12505565
E5200,Snow White ,16775930
E940,Glow White ,16579836
E155,Blue Violet MD DK ,11232630
E168,Pewter V LT ,12039083
E130,Gemstone ,6312321
E135,Golden Dawn ,4034905
E211,Lavender LT ,14923222
E301,Mahogany MD ,2443161
