number,description,rgbCode
829,Golden Olive Vy Dk,7E6B42
613,Drab Brown V Lt,DCC4AA
612,Drab Brown Lt,BC9A78
611,Drab Brown,967656
610,Drab Brown Dk,796047
3047,Yellow Beige Lt,E7D6C1
3046,Yellow Beige Md,D8BC9A
3045,Yellow Beige Dk,BC966A
167,Yellow Beige V Dk,A77C49
746,Off White,FCFCEE
677,Old Gold Vy Lt,F5ECCB
422,Hazelnut Brown Lt,C69F7B
3828,Hazelnut Brown,B78B61
420,Hazelnut Brown Dk,A07042
869,Hazelnut Brown V Dk,835E39
728,Topaz,E4B468
783,Topaz Medium,CE9124
782,Topaz Dark,AE7720
781,Topaz Very Dark,A26D20
780,Topaz Ultra Vy Dk,94631A
676,Old Gold Lt,E5CE97
729,Old Gold Medium,D0A53E
680,Old Gold Dark,BC8D0E
3829,Old Gold Vy Dark,A98204
3822,Straw Light,F6DC98
3821,Straw,F3CE75
3820,Straw Dark,DFB65F
3852,Straw Very Dark,CD9D37
445,Lemon Light,FFFB8B
307,Lemon,FDED54
973,Canary Bright,FFE300
444,Lemon Dark,FFD600
3078,Golden Yellow Vy Lt,FDF9CD
727,Topaz Vy Lt,FFF1AF
726,Topaz Light,FDD755
725,Topaz Med Lt,FFC840
972,Canary Deep,FFB515
745,Yellow Pale Light,FFE9AD
744,Yellow Pale,FFE793
743,Yellow Med,FED376
742,Tangerine Light,FFBF57
741,Tangerine Med,FFA32B
740,Tangerine,FF8B00
970,Pumpkin Light,F78B13
971,Pumpkin,F67F00
947,Burnt Orange,FF7B4D
946,Burnt Orange Med,EB6307
900,Burnt Orange Dark,D15807
967,Apricot Very Light,FFDED5
3824,Apricot Light,FECDC2
3341,Apricot,FCAB98
3340,Apricot Med,FF836F
608,Burnt Orange Bright,FD5D35
606,Orange?Red Bright,FA3203
951,Tawny Light,FFE2CF
3856,Mahogany Ult Vy Lt,FFD3B5
722,Orange Spice Light,F7976F
721,Orange Spice Med,F27842
720,Orange Spice Dark,E55C1F
3825,Pumpkin Pale,FDBD96
922,Copper Light,E27323
921,Copper,C66218
920,Copper Med,AC5414
919,Red?Copper,A64510
918,Red?Copper Dark,82340A
3770,Tawny Vy Light,FFEEE3
945,Tawny,FBD5BB
402,Mahogany Vy Lt,F7A777
3776,Mahogany Light,CF7939
301,Mahogany Med,B35F2B
400,Mahogany Dark,8F430F
300,Mahogany Vy Dk,6F2F00
3823,Yellow Ultra Pale,FFFDE3
3855,Autumn Gold Lt,FAD396
3854,Autumn Gold Med,F2AF68
3853,Autumn Gold Dk,F29746
3827,Golden Brown Pale,F7BB77
977,Golden Brown Light,DC9C56
976,Golden Brown Med,C28142
3826,Golden Brown,AD7239
975,Golden Brown Dk,914F12
948,Peach Very Light,FEE7DA
754,Peach Light,F7CBBF
3771,Terra Cotta Ult Vy Lt,F4BBA9
758,Terra Cotta Vy Lt,EEAA9B
3778,Terra Cotta Light,D98978
356,Terra Cotta Med,C56A5B
3830,Terra Cotta,BC5544
355,Terra Cotta Dark,984436
3777,Terra Cotta Vy Dk,863022
3779,Rosewood Ult Vy Lt,F8CAC8
3859,Rosewood Light,BA8B7C
3858,Rosewood Med,964A3F
3857,Rosewood Dark,68251A
3774,Desert Sand Vy Lt,F3E1D7
950,Desert Sand Light,EED3C4
3064,Desert Sand,C48E70
407,Desert Sand Med,BB8161
3773,Desert Sand Dark,B67552
3772,Desert Sand Vy Dk,A06C50
632,Desert Sand Ult Vy Dk,875539
453,Shell Gray Light,D7CECB
452,Shell Gray Med,C0B3AE
451,Shell Gray Dark,917B73
3861,Cocoa Light,A68881
3860,Cocoa,7D5D57
779,Cocoa Dark,624B45
712,Cream,FFFBEF
739,Tan Ult Vy Lt,F8E4C8
738,Tan Very Light,ECCC9E
437,Tan Light,E4BB8E
436,Tan,CB9051
435,Brown Very Light,B87748
434,Brown Light,985E33
433,Brown Med,7A451F
801,Coffee Brown Dk,653919
898,Coffee Brown Vy Dk,492A13
938,Coffee Brown Ult Dk,361F0E
3371,Black Brown,1E1108
543,Beige Brown Ult Vy Lt,F2E3CE
3864,Mocha Beige Light,CBB69C
3863,Mocha Beige Med,A4835C
3862,Mocha Beige Dark,8A6E4E
3031,Mocha Brown Vy Dk,4B3C2A
B5200,Snow White,FFFFFF
White,White,FCFBF8
3865,Winter White,F9F7F1
Ecru,Ecru,F0EADA
822,Beige Gray Light,E7E2D3
644,Beige Gray Med,DDD8CB
642,Beige Gray Dark,A49878
640,Beige Gray Vy Dk,857B61
3787,Brown Gray Dark,625D50
3021,Brown Gray Vy Dk,4F4B41
3024,Brown Gray Vy Lt,EBEAE7
3023,Brown Gray Light,B1AA97
3022,Brown Gray Med,8E9078
535,Ash Gray Vy Lt,636458
3033,Mocha Brown Vy Lt,E3D8CC
3782,Mocha Brown Lt,D2BCA6
3032,Mocha Brown Med,B39F8B
3790,Beige Gray Ult Dk,7F6A55
3781,Mocha Brown Dk,6B5743
3866,Mocha Brn Ult Vy Lt,FAF6F0
842,Beige Brown Vy Lt,D1BAA1
841,Beige Brown Lt,B69B7E
840,Beige Brown Med,9A7C5C
839,Beige Brown Dk,675541
838,Beige Brown Vy Dk,594937
3072,Beaver Gray Vy Lt,E6E8E8
648,Beaver Gray Lt,BCB4AC
647,Beaver Gray Med,B0A69C
646,Beaver Gray Dk,877D73
645,Beaver Gray Vy Dk,6E655C
844,Beaver Gray Ult Dk,484848
762,Pearl Gray Vy Lt,ECECEC
415,Pearl Gray,D3D3D6
318,Steel Gray Lt,ABABAB
414,Steel Gray Dk,8C8C8C
168,Pewter Very Light,D1D1D1
169,Pewter Light,848484
317,Pewter Gray,6C6C6C
413,Pewter Gray Dark,565656
3799,Pewter Gray Vy Dk,424242
310,Black,000000
