number,description,rgbCode
861,Fern Green DK,3227961
862,Fern Green VY DK,1780224
259,Laurel Green VY LT,13105385
260,Laurel Green LT,10207669
261,Laurel Green Med,6786946
262,Laurel Green DK,3559753
263,Loden Green DK,2111279
206,Jade VY LT,11652512
208,Jade LT,8167014
210,Jade Med DK,4151343
211,Jade DK,3427619
212,Jade VY DK,2768669
203,Emerald Green Ultra,9814159
204,Emerald Green VY LT,7313770
209,Spruce,7646307
205,Emerald Green LT,5402958
230,Emerald Green,2701078
1043,Pistachio Green VY L,13301466
240,Pistachio Green LT,9879461
241,Pistachio Green,7253125
242,Pistachio Green Med,5803371
243,Pistachio Green Med,4879194
244,Pistachio Green Med,3890247
246,Pistachio Green VY D,1390882
1044,Pistachio Green Ultr,11793
225,Christmas Green VY L,6202489
226,Christmas Green LT,4359515
227,Christmas Green,2978874
228,Christmas Green Med,2252076
923,Christmas Green VY D,80906
229,Christmas Green DK,1462048
238,Chartreuse,3906157
239,Chartreuse VY DK,2524746
245,Grass Green dk,3240746
264,Avocado Green Ultra,8764333
265,Avocado Green VY LT,4693644
266,Avocado Green LT,3571825
267,Avocado Green Med,2580050
268,Avocado Green DK,1788993
269,Avocado Green VY DK,994856
886,Yellow Beige LT,10994643
945,Yellow Green VY LT,6199204
887,Yellow Beige Med,8695484
888,Hazelnut Brown LT,4221320
889,Drab Brown VY DK,1587804
831,Drab Brown LT,8426406
832,Drab Brown Med,4282224
898,Drab Brown DK,3557212
874,Gold VY LT,6329267
907,Gold Med,2579326
277,Gold DK,536654
906,Hazelnut Brown DK,1322050
253,Forest Green Ultra V,9354164
254,Forest Green VY LT,6858398
255,Forest Green LT,361844
256,Forest Green Med,94819
257,Forest Green DK,90967
258,Forest Green VY DK,85829
278,Lime Green LT,7196631
279,Lime Green,4692907
280,Yellow Green,3699072
281,Yellow Green DK,1459276
924,Yellow Green VY DK,868169
842,Khaki Green LT,10272452
843,Khaki Green Med LT,5010813
844,Khaki Green Med,3627102
845,Khaki Green Med DK,2375236
846,Khaki Green DK,1714990
681,Green Grey,2045495
852,Avocado Ultra VY LT,10863308
853,Avocado VY LT,7047313
854,Avocado LT,5402747
855,Avocado Med,4088688
856,Yellow Green Med,2113608
1,White Bright,16777215
2,White,16448250
926,Beige Brown Ultra VY,14675187
387,Beige Brown VY LT,12702426
388,Beige Brown LT,10990019
390,Beige Grey LT,13227739
391,Beige Grey Med,9608874
392,Beige Grey DK,6123136
393,Beige Grey Ultra VY,4016469
885,Yellow Beige VY LT,13100271
956,Yellow Green Ultra V,9878724
830,Drab Brown VY LT,12370892
899,Brown Grey LT,7701395
903,Brown Grey LT,4214625
904,Brown Grey Med,2570573
905,Brown Grey DK,1779509
1050,Mocha Brown DK,794422
900,Beaver Grey LT,7962240
1040,Beaver Grey DK,4145733
8581,Beaver Grey Med,3817024
273,Beaver Grey VY DK,2633008
1041,Beaver Grey Ultra DK,2369578
231,Shell Grey LT,10988221
232,Shell Grey Med,8355982
233,Shell Grey DK,6185325
234,Pearl Grey VY LT,12894145
235,Pewter Grey,4737096
236,Pewter Grey VY DK,2039583
397,Pearl Grey Ultra VY,13227221
398,Pearl Grey,9078921
399,Steel Grey LT,6513252
400,Pewter Grey DK,3815994
401,Shell Grey VY DK,2763829
403,Black,0
